num, permutation, resultat, departements, valides, creuse, adjacents, tripoint
374,07715172,2571724,02-57-17-24,True,False,0,
375,07715217,2571739,02-57-17-39,True,False,0,
376,07715271,2571757,02-57-17-57,False,False,0,
377,07715712,2571904,02-57-19-04,True,False,0,
378,07715721,2571907,02-57-19-07,True,False,0,
379,07717125,2572375,02-57-23-75,True,True,0,
380,07717152,2572384,02-57-23-84,True,True,0,
381,07717215,2572405,02-57-24-05,True,False,0,
382,07717251,2572417,02-57-24-17,True,False,1,
383,07717512,2572504,02-57-25-04,True,False,0,
384,07717521,2572507,02-57-25-07,True,False,0,
385,07721157,2573719,02-57-37-19,True,False,0,
386,07721175,2573725,02-57-37-25,True,False,0,
387,07721517,2573839,02-57-38-39,True,False,0,
388,07721571,2573857,02-57-38-57,False,False,0,
389,07721715,2573905,02-57-39-05,True,False,0,
390,07721751,2573917,02-57-39-17,True,False,0,
391,07725117,2575039,02-57-50-39,True,False,0,
392,07725171,2575057,02-57-50-57,False,False,0,
393,07725711,2575237,02-57-52-37,True,False,0,
394,07727115,2575705,02-57-57-05,False,False,0,
395,07727151,2575717,02-57-57-17,False,False,0,
396,07727511,2575837,02-57-58-37,True,False,0,
397,07751127,2583709,02-58-37-09,True,False,0,
398,07751172,2583724,02-58-37-24,True,False,0,
399,07751217,2583739,02-58-37-39,True,False,0,
400,07751271,2583757,02-58-37-57,True,False,0,
401,07751712,2583904,02-58-39-04,True,False,0,
402,07751721,2583907,02-58-39-07,True,False,0,
403,07752117,2584039,02-58-40-39,True,False,0,
404,07752171,2584057,02-58-40-57,True,False,0,
405,07752711,2584237,02-58-42-37,True,False,0,
406,07757112,2585704,02-58-57-04,True,False,0,
407,07757121,2585707,02-58-57-07,True,False,0,
408,07757211,2585737,02-58-57-37,True,False,0,
409,07771125,2590375,02-59-03-75,True,False,1,
410,07771152,2590384,02-59-03-84,True,False,1,
411,07771215,2590405,02-59-04-05,True,False,2,
412,07771251,2590417,02-59-04-17,True,False,1,
413,07771512,2590504,02-59-05-04,True,False,2,
414,07771521,2590507,02-59-05-07,True,False,1,
415,07772115,2590705,02-59-07-05,True,False,1,
416,07772151,2590717,02-59-07-17,True,False,1,
417,07772511,2590837,02-59-08-37,True,False,3,02-08-59
418,07775112,2591704,02-59-17-04,True,False,1,
419,07775121,2591707,02-59-17-07,True,False,1,
420,07775211,2591737,02-59-17-37,True,False,1,
421,10125777,3375259,03-37-52-59,True,False,0,
422,10127577,3375859,03-37-58-59,True,False,1,
423,10127757,3375919,03-37-59-19,True,False,0,
424,10127775,3375925,03-37-59-25,True,False,0,
425,10152777,3384259,03-38-42-59,True,False,1,
426,10157277,3385759,03-38-57-59,True,False,0,
427,10157727,3385909,03-38-59-09,True,False,0,
428,10157772,3385924,03-38-59-24,True,False,0,
429,10172577,3390859,03-39-08-59,True,False,1,
430,10172757,3390919,03-39-09-19,True,False,0,
431,10172775,3390925,03-39-09-25,True,False,1,
432,10175277,3391759,03-39-17-59,True,False,0,
433,10175727,3391909,03-39-19-09,True,False,0,
434,10175772,3391924,03-39-19-24,True,False,1,
435,10177257,3392419,03-39-24-19,True,False,1,
436,10177275,3392425,03-39-24-25,True,False,1,
437,10177527,3392509,03-39-25-09,True,False,1,
438,10177572,3392524,03-39-25-24,True,False,1,
439,10177725,3392575,03-39-25-75,True,False,1,
440,10177752,3392584,03-39-25-84,True,False,1,
441,10215777,3405259,03-40-52-59,True,False,0,
442,10217577,3405859,03-40-58-59,True,False,1,
443,10217757,3405919,03-40-59-19,True,False,0,
444,10217775,3405925,03-40-59-25,True,False,0,
445,10251777,3417259,03-41-72-59,True,False,1,
446,10257177,3419059,03-41-90-59,True,False,0,
447,10257717,3419239,03-41-92-39,True,False,0,
448,10257771,3419257,03-41-92-57,True,False,0,
449,10271577,3423859,03-42-38-59,True,False,1,
450,10271757,3423919,03-42-39-19,True,False,1,
451,10271775,3423925,03-42-39-25,True,False,2,
452,10275177,3425059,03-42-50-59,True,False,1,
453,10275717,3425239,03-42-52-39,True,False,1,
454,10275771,3425257,03-42-52-57,True,False,1,
455,10277157,3425719,03-42-57-19,True,False,1,
456,10277175,3425725,03-42-57-25,True,False,1,
457,10277517,3425839,03-42-58-39,True,False,2,
458,10277571,3425857,03-42-58-57,True,False,2,
459,10277715,3425905,03-42-59-05,True,False,1,
460,10277751,3425917,03-42-59-17,True,False,1,
461,10512777,3504259,03-50-42-59,True,False,1,
462,10517277,3505759,03-50-57-59,True,False,0,
463,10517727,3505909,03-50-59-09,True,False,0,
464,10517772,3505924,03-50-59-24,True,False,0,
465,10521777,3507259,03-50-72-59,True,False,0,
466,10527177,3509059,03-50-90-59,True,False,0,
467,10527717,3509239,03-50-92-39,True,False,0,
468,10527771,3509257,03-50-92-57,True,False,0,
469,10571277,3523759,03-52-37-59,True,False,0,
470,10571727,3523909,03-52-39-09,True,False,0,
471,10571772,3523924,03-52-39-24,True,False,0,
472,10572177,3524059,03-52-40-59,True,False,0,
473,10572717,3524239,03-52-42-39,True,False,1,
474,10572771,3524257,03-52-42-57,True,False,1,
475,10577127,3525709,03-52-57-09,True,False,0,
476,10577172,3525724,03-52-57-24,True,False,0,
477,10577217,3525739,03-52-57-39,True,False,0,
478,10577271,3525757,03-52-57-57,False,False,0,
479,10577712,3525904,03-52-59-04,True,False,0,
480,10577721,3525907,03-52-59-07,True,False,0,
481,10712577,3570859,03-57-08-59,True,False,1,
482,10712757,3570919,03-57-09-19,True,False,0,
483,10712775,3570925,03-57-09-25,True,False,0,
484,10715277,3571759,03-57-17-59,True,False,0,
485,10715727,3571909,03-57-19-09,True,False,0,
486,10715772,3571924,03-57-19-24,True,False,1,
487,10717257,3572419,03-57-24-19,True,False,1,
488,10717275,3572425,03-57-24-25,True,False,0,
489,10717527,3572509,03-57-25-09,True,False,0,
490,10717572,3572524,03-57-25-24,True,False,0,
491,10717725,3572575,03-57-25-75,True,False,0,
492,10717752,3572584,03-57-25-84,True,False,0,
493,10721577,3573859,03-57-38-59,True,False,0,
494,10721757,3573919,03-57-39-19,True,False,0,
495,10721775,3573925,03-57-39-25,True,False,1,
496,10725177,3575059,03-57-50-59,True,False,0,
497,10725717,3575239,03-57-52-39,True,False,0,
498,10725771,3575257,03-57-52-57,False,False,0,
499,10727157,3575719,03-57-57-19,False,False,0,
500,10727175,3575725,03-57-57-25,False,False,0,
501,10727517,3575839,03-57-58-39,True,False,1,
502,10727571,3575857,03-57-58-57,False,False,0,
503,10727715,3575905,03-57-59-05,True,False,0,
504,10727751,3575917,03-57-59-17,True,False,0,
505,10751277,3583759,03-58-37-59,True,False,1,
506,10751727,3583909,03-58-39-09,True,False,1,
507,10751772,3583924,03-58-39-24,True,False,1,
508,10752177,3584059,03-58-40-59,True,False,1,
509,10752717,3584239,03-58-42-39,True,False,2,
510,10752771,3584257,03-58-42-57,True,False,2,
511,10757127,3585709,03-58-57-09,True,False,1,
512,10757172,3585724,03-58-57-24,True,False,1,
513,10757217,3585739,03-58-57-39,True,False,1,
514,10757271,3585757,03-58-57-57,False,False,0,
515,10757712,3585904,03-58-59-04,True,False,1,
516,10757721,3585907,03-58-59-07,True,False,1,
517,10771257,3590419,03-59-04-19,True,False,0,
518,10771275,3590425,03-59-04-25,True,False,0,
519,10771527,3590509,03-59-05-09,True,False,0,
520,10771572,3590524,03-59-05-24,True,False,0,
521,10771725,3590575,03-59-05-75,True,False,0,
522,10771752,3590584,03-59-05-84,True,False,0,
523,10772157,3590719,03-59-07-19,True,False,0,
524,10772175,3590725,03-59-07-25,True,False,0,
525,10772517,3590839,03-59-08-39,True,False,1,
526,10772571,3590857,03-59-08-57,True,False,1,
527,10772715,3590905,03-59-09-05,True,False,0,
528,10772751,3590917,03-59-09-17,True,False,0,
529,10775127,3591709,03-59-17-09,True,False,0,
530,10775172,3591724,03-59-17-24,True,False,0,
531,10775217,3591739,03-59-17-39,True,False,0,
532,10775271,3591757,03-59-17-57,True,False,0,
533,10775712,3591904,03-59-19-04,True,False,0,
534,10775721,3591907,03-59-19-07,True,False,0,
535,10777125,3592375,03-59-23-75,True,True,1,
536,10777152,3592384,03-59-23-84,True,True,1,
537,10777215,3592405,03-59-24-05,True,False,0,
538,10777251,3592417,03-59-24-17,True,False,1,
539,10777512,3592504,03-59-25-04,True,False,0,
540,10777521,3592507,03-59-25-07,True,False,0,
541,11025777,3675259,03-67-52-59,True,False,0,
542,11027577,3675859,03-67-58-59,True,False,1,
